x [nm]	y [nm]
-111.93	131.89
-117.80	135.43
-114.43	123.09
-105.07	133.41
-116.40	129.94
-112.83	133.81
-115.23	140.16
-114.37	136.64
-112.43	132.12
-112.67	129.87
-106.23	130.53
-110.50	138.24
-118.23	135.98
-113.80	140.20
-113.00	128.55
-108.67	131.15
-110.70	127.33
-105.17	139.62
-117.63	134.13
-116.80	137.23
-111.77	145.41
-107.93	138.68
-110.83	136.55
-108.80	134.97
-110.23	136.78
-112.40	133.50
-107.83	138.19
-110.36	139.73
-107.50	135.74
-109.80	141.98
-107.30	138.71
-112.37	138.49
-110.37	135.74
-113.17	131.54
-109.43	144.50
-116.57	131.50
-111.83	143.60
-116.37	136.76
-114.87	141.32
-120.73	140.95
-113.83	145.72
-124.93	134.83
-118.63	146.94
-111.87	133.64
-115.53	137.87
-114.73	134.82
-118.13	142.88
-117.73	135.85
-114.83	137.02
-123.17	143.79
-118.20	142.65
-114.00	135.55
-115.00	144.44
-113.57	137.74
-115.63	128.85
-113.36	138.90
-125.27	140.20
-125.67	145.49
-118.33	136.92
-123.93	140.57
-115.10	138.22
-125.57	142.02
-119.57	144.97
-121.93	145.10
-121.40	145.04
-114.63	136.23
-118.00	138.95
-116.76	143.88
-123.00	139.24
-118.33	137.28
-116.27	136.75
-116.30	130.19
-126.80	132.50
-122.03	135.29
-129.33	137.76
-125.33	133.37
-125.87	136.18
-120.57	131.94
-133.13	140.74
-128.07	133.95
-126.00	142.43
-130.27	137.07
-131.23	140.33
-135.77	140.03
-121.23	138.00
-126.57	135.52
-126.60	134.59
-131.20	139.77
-127.33	135.13
-127.46	130.42
-130.00	133.93
-134.63	133.25
-130.03	131.70
-133.00	133.82
-131.33	138.53
-132.63	130.70
-126.73	133.93
-126.76	129.19
-128.53	130.52
-130.27	130.17
-134.57	136.26
-132.90	140.23
-134.10	140.19
-129.60	137.89
-128.20	138.17
-135.27	131.80
-129.57	133.80
-133.76	139.86
-141.50	138.50
-131.87	133.03
-141.80	138.99
-127.60	133.07
-128.77	134.87
-145.10	139.20
-135.10	131.76
-138.73	137.07
-134.33	126.19
-130.73	139.16
-136.57	139.20
-136.17	143.88
-139.53	134.32
-137.93	135.27
-129.23	140.93
-132.43	146.52
-137.03	132.98
-135.07	137.25
-135.40	134.13
-129.36	135.32
-144.37	139.06
-138.86	138.08
-137.10	133.84
-143.00	134.36
-132.23	139.92
-142.20	135.67
-133.87	141.91
-143.47	140.01
-144.90	137.90
-140.20	145.87
-139.07	144.77
-143.30	139.70
-138.07	148.91
-132.60	138.35
-140.30	133.27
-144.13	144.86
-143.20	139.75
-142.27	148.23
-137.33	137.44
-137.47	145.24
-133.96	149.62
-140.17	141.62
-136.67	146.71
-139.57	142.54
-141.53	140.06
-143.26	144.54
-144.70	140.73
-148.67	134.74
-140.30	147.70
-143.07	150.33
-133.40	135.90
-137.60	153.41
-148.23	160.78
-148.53	143.18
-141.53	150.27
-141.43	149.47
-143.13	148.36
-140.67	151.55
-142.96	145.61
-139.53	148.12
-142.87	138.94
-145.17	141.85
-144.07	147.10
-144.36	140.02
-145.60	146.77
-146.37	146.94
-140.07	141.28
-138.27	144.76
-148.36	141.64
-147.73	138.39
-159.60	145.99
-152.77	135.76
-146.67	131.39
-151.30	135.68
-151.77	151.99
-153.83	151.73
-142.57	145.65
-157.93	138.10
-144.57	134.18
-149.67	138.58
-146.57	139.79
-148.93	140.07
-153.33	146.38
-148.10	141.22
-149.80	137.72
-152.43	147.08
-148.30	150.18
-148.83	144.28
-146.27	141.56
-148.13	139.39
-145.93	146.93
-143.73	142.36
-148.73	149.95
-154.37	139.60
-149.73	147.15
-141.43	140.84
-145.93	150.65
-149.03	152.04
-149.73	151.47
-140.43	146.47
-156.60	151.54
-146.50	147.62
-154.53	140.23
-146.03	148.02
-148.73	134.19
-149.00	140.47
-144.60	148.98
-147.43	147.46
-151.97	147.41
-149.73	150.03
-144.57	151.52
-154.53	139.81
-141.10	146.77
-140.70	145.70
-143.83	153.37
-150.93	151.48
-147.23	142.00
-150.93	152.79
-147.83	145.13
-148.73	145.90
-143.87	145.32
-149.73	152.45
-144.53	149.70
-156.80	147.84
-141.80	146.93
-151.57	147.18
-151.77	150.72
-146.10	151.21
-148.53	149.73
-143.30	145.02
-147.10	157.53
-142.53	141.06
-143.20	144.48
-146.87	147.83
-147.86	148.28
-147.46	155.36
-149.16	150.87
-151.60	154.73
-151.33	150.03
-151.80	149.19
-153.96	151.12
-152.33	148.73
-155.96	149.47
-147.67	151.11
-148.27	153.16
-147.83	155.64
-154.63	151.02
-155.63	158.73
-153.36	154.34
-152.90	152.23
-143.97	149.21
-156.93	157.84
-150.77	148.11
-146.83	147.78
-152.73	153.30
-146.57	148.65
-155.03	156.02
-152.07	147.67
-146.03	143.94
-150.40	157.56
-156.43	141.98
-153.90	144.53
-156.47	149.55
-149.97	148.45
-147.37	151.25
-154.77	155.97
-154.90	153.14
-142.33	152.24
-148.50	157.52
-150.60	153.32
-144.87	146.15
-152.13	142.94
-152.83	152.31
-161.37	160.45
-158.20	154.37
-159.20	154.79
-142.63	153.07
-153.47	158.59
-154.80	165.35
-150.13	148.78
-145.83	159.47
-149.50	151.31
-154.60	145.38
-156.37	150.39
-160.77	152.43
-150.50	148.35
-154.63	150.77
-154.23	155.76
-156.43	148.29
-155.57	147.10
-156.03	150.79
-158.90	149.07
-155.53	146.37
-152.03	143.67
-151.67	147.95
-159.33	152.49
-153.03	158.77
-155.67	149.73
-155.20	152.39
-154.20	153.89
-153.40	147.21
-149.80	151.74
-153.50	146.55
-151.53	143.44
-158.43	141.22
-159.93	147.28
-163.53	152.82
-154.93	152.39
-154.83	150.11
-154.37	144.74
-161.13	149.73
-147.80	147.90
-152.07	147.49
-158.00	150.57
-155.50	147.83
-151.17	150.58
-164.40	156.18
-151.97	145.42
-160.07	145.19
-159.67	157.18
-160.63	147.36
-163.67	154.03
-157.93	149.59
-150.47	149.49
-157.67	145.87
-162.37	154.07
-160.73	149.80
-153.97	149.81
-163.10	148.80
-149.76	151.40
-161.17	146.66
-156.50	144.89
-156.20	155.88
-147.00	142.69
-157.67	140.40
-163.07	152.15
-156.83	147.24
-161.07	146.53
-160.27	146.10
-152.07	153.99
-156.00	152.79
-154.07	147.12
-155.47	154.74
-154.23	149.95
-157.73	151.72
-148.90	148.62
-160.50	149.26
-159.60	144.71
-170.70	161.88
-160.60	150.39
-162.77	149.46
-157.40	145.00
-161.76	141.97
-160.33	142.70
-160.07	147.21
-156.70	150.47
-154.57	144.08
-145.63	149.00
-155.63	151.94
-163.30	144.88
-154.93	146.99
-157.50	136.69
-153.10	140.34
-158.43	143.27
-166.10	148.94
-159.46	152.58
-158.46	146.30
-153.30	153.21
-153.10	149.15
-163.77	140.04
-153.20	150.91
-157.27	140.22
-153.80	147.88
-160.36	147.86
-169.30	139.31
-165.73	147.82
-160.23	136.69
-157.83	144.17
-161.93	147.36
-161.80	140.66
-155.30	139.27
-155.83	133.60
-157.37	131.76
-159.23	140.72
-159.87	137.80
-160.77	139.47
-158.40	142.17
-159.57	140.71
-163.23	145.45
-163.30	146.99
-160.43	151.98
-162.87	141.72
-164.70	145.51
-160.23	140.48
-166.46	139.70
-157.00	151.81
-160.67	139.58
-162.23	145.21
-166.27	147.99
-164.63	141.22
-167.60	140.68
-166.27	137.49
-154.37	138.28
-159.53	142.65
-159.57	148.86
-161.90	149.31
-157.70	130.71
-157.50	135.16
-166.07	139.76
-171.60	139.81
-165.97	148.41
-162.83	141.61
-164.83	142.49
-161.53	145.45
-166.53	139.54
-166.37	141.53
-166.07	145.98
-162.23	134.34
-174.13	146.29
-165.86	142.53
-155.40	143.18
-168.70	139.81
-164.80	148.15
-160.17	141.31
-168.20	142.70
-161.37	134.52
-172.23	140.15
-169.20	144.44
-170.87	143.98
-157.83	137.01
-167.70	137.03
-174.00	145.56
-161.03	145.70
-169.67	137.81
-171.60	140.48
-163.40	140.69
-166.90	140.88
-168.73	140.66
-164.80	141.98
-167.33	138.15
-167.23	132.34
-165.73	135.12
-175.13	152.40
-176.63	134.13
-166.47	132.58
-180.60	134.02
-168.23	139.48
-171.03	130.10
-162.13	135.81
-171.43	136.70
-176.80	134.24
-174.90	135.99
-165.80	127.40
-173.60	134.79
-172.13	136.38
-165.87	131.70
-173.67	130.05
-175.77	135.01
-170.73	139.92
-161.93	140.37
-169.93	140.70
-173.36	129.89
-174.60	126.67
-171.33	134.43
-167.27	133.28
-168.86	133.80
-171.17	137.83
-179.70	138.57
-172.43	137.45
-167.33	131.51
-165.53	124.33
-162.43	136.73
-165.23	129.46
-180.43	136.86
-163.17	132.22
-174.93	131.09
-165.77	124.80
-170.77	137.26
-174.00	131.41
-168.86	131.51
-180.30	131.05
-176.66	138.79
-172.23	134.08
-169.93	130.50
-176.40	136.58
-178.60	138.69
-175.97	134.17
-166.93	133.89
-171.20	136.62
-174.70	134.88
-159.17	130.25
-165.63	135.38
-178.33	129.01
-179.03	130.32
-169.00	136.98
-173.90	138.04
-164.10	140.75
-164.83	136.99
-172.47	135.85
-173.17	135.87
-166.63	134.49
-167.20	131.25
-180.50	143.91
-168.80	130.45
-171.93	129.77
-172.50	132.66
-171.67	138.64
-170.40	138.73
-170.00	132.38
-167.60	136.88
-167.20	136.31
-165.30	130.81
-167.57	136.20
-168.77	129.66
-170.00	124.23
-167.57	130.51
-171.83	137.70
-173.67	141.21
-175.77	136.29
-164.10	138.04
-172.27	133.24
-174.83	140.12
-175.53	135.73
-178.70	137.83
-171.20	128.46
-162.93	128.22
-169.30	136.67
-170.53	132.19
-163.83	142.41
-167.07	139.88
-173.70	140.94
-169.50	148.15
-172.07	146.08
-168.27	143.82
-159.13	134.38
-170.86	131.39
-179.90	139.47
-173.23	136.45
-170.20	147.33
-167.47	136.78
-166.30	131.47
-174.23	142.16
-172.73	140.77
-167.80	143.62
-173.53	138.33
-167.27	140.29
-176.86	147.15
-183.40	149.30
-165.10	136.56
-182.30	142.30
-180.43	139.35
-170.10	144.61
-174.67	138.96
-173.93	131.49
-170.70	138.36
-176.77	133.45
-162.90	142.60
-173.33	146.56
-160.37	143.13
-166.60	146.02
-171.97	149.55
-184.63	141.36
-170.23	141.71
-171.17	144.04
-170.90	140.43
-172.40	138.60
-173.67	137.05
-171.43	133.71
-168.10	143.46
-171.90	149.01
-171.40	137.29
-167.70	137.81
-174.37	143.38
-170.46	139.46
-175.17	146.33
-168.43	150.09
-181.30	142.27
-176.03	150.52
-174.17	147.65
-178.97	146.04
-176.23	150.85
-179.46	144.55
-179.46	143.98
-174.93	150.64
-173.53	145.32
-170.36	142.24
-169.60	147.03
-175.83	141.33
-172.23	143.11
-176.10	144.35
-168.97	145.19
-170.07	150.44
-180.83	145.23
-174.03	149.47
-171.96	141.31
-163.20	138.87
-179.03	146.49
-179.63	146.99
-171.70	152.80
-173.60	150.17
-177.67	145.69
-169.20	146.22
-172.13	146.28
-169.17	138.99
-171.30	147.95
-177.93	143.69
-172.70	148.20
-176.20	153.57
-179.60	156.91
-175.73	144.42
-176.33	146.72
-179.10	149.79
-177.73	146.08
-177.43	144.92
-173.03	146.59
-174.63	152.82
-180.37	145.29
-183.53	141.32
-182.86	147.00
-177.90	148.97
-175.70	151.45
-187.33	152.93
-180.37	148.46
-167.77	141.79
-176.90	151.23
-178.23	149.41
-179.37	151.56
-173.07	144.23
-173.50	146.38
-181.86	153.31
-181.50	151.54
-178.83	150.40
-183.33	150.82
-169.07	145.53
-173.63	152.19
-176.20	149.51
-181.00	151.69
-177.13	150.41
-184.10	147.99
-181.90	157.28
-166.57	156.16
-181.17	150.52
-182.73	155.41
-177.80	151.04
-184.53	154.06
-178.57	159.10
-181.83	146.96
-182.90	146.88
-179.17	151.79
-174.20	148.35
-182.17	150.92
-188.33	147.61
-185.00	149.68
-181.80	161.17
-185.77	152.55
-181.93	146.39
-184.43	141.72
-178.73	149.95
-172.90	145.05
-186.03	146.76
-179.67	153.24
-187.43	155.79
-183.46	143.41
-188.77	144.18
-180.26	147.10
-178.10	145.69
-189.43	150.91
-188.03	160.30
-187.90	149.64
-183.63	150.28
-185.20	150.81
-183.30	143.24
-184.20	144.23
-187.97	155.09
-183.13	141.25
-187.87	149.85
-183.03	154.15
-190.10	148.42
-175.00	146.52
-181.46	140.88
-183.57	146.12
-186.83	147.98
-183.17	154.31
-190.20	157.76
-184.27	148.72
-186.80	150.51
-192.07	148.92
-183.50	155.07
-189.50	145.74
-191.97	146.87
-171.80	151.45
-193.40	152.54
-193.80	151.51
-181.50	152.80
-193.93	152.43
-197.67	157.43
-192.46	161.67
-187.83	151.44
-187.07	152.14
-180.10	142.36
-185.57	152.20
-190.36	164.09
-185.77	151.69
-192.50	157.13
-190.07	147.54
-190.67	151.27
-184.53	156.42
-185.73	143.65
-192.07	151.87
-187.90	154.08
-185.47	150.89
-193.97	154.98
-199.90	158.24
-189.50	155.23
-200.37	156.10
-189.73	157.35
-191.37	158.78
-195.63	159.25
-195.23	157.96
-186.03	155.21
-184.83	151.05
-192.17	150.03
-189.10	156.92
-191.90	155.58
-189.30	155.19
-192.23	149.99
-185.96	150.23
-187.83	155.96
-185.77	151.37
-193.17	150.06
-190.60	152.30
-186.93	149.58
-192.43	158.58
-189.20	150.83
-188.96	152.06
-185.47	149.79
-190.90	157.50
-187.67	155.59
-178.17	158.09
-189.17	158.93
-185.00	151.34
-178.40	154.08
-190.30	159.01
-178.46	153.55
-185.90	149.70
-193.07	157.48
-188.43	159.40
-191.00	153.67
-185.43	145.68
-187.03	151.23
-187.47	142.64
-189.46	156.94
-186.90	150.99
-182.57	146.90
-192.70	150.20
-192.10	147.56
-189.46	150.50
-181.00	157.16
-184.07	144.58
-180.90	146.77
-195.20	154.75
-186.90	150.62
-197.36	148.94
-189.50	156.54
-185.73	148.54
-186.87	158.53
-184.63	151.25
-194.46	157.29
-192.20	145.24
-191.70	143.08
-189.13	151.99
-189.07	146.74
-189.90	141.91
-194.47	140.36
-191.43	142.48
-198.80	156.77
-195.20	146.23
-198.73	151.01
-185.60	140.36
-194.10	153.49
-197.50	149.50
-194.07	140.68
-196.40	147.85
-185.33	140.45
-196.07	143.01
-196.80	150.17
-193.53	149.29
-194.46	151.41
-191.97	146.70
-197.97	146.71
-194.67	153.78
-192.23	145.43
-198.27	138.82
-193.46	141.47
-195.80	149.56
-194.30	149.45
-198.20	149.77
-186.97	145.12
-202.13	148.04
-193.57	140.77
-200.37	154.27
-196.10	148.90
-198.03	151.78
-200.73	150.32
-206.00	158.63
-199.53	152.86
-191.17	146.40
-197.37	147.45
-196.17	144.14
-200.86	149.04
-191.90	146.71
-202.57	155.50
-197.47	151.91
-203.47	147.52
-194.46	152.82
-204.40	159.24
-200.60	164.97
-191.57	165.49
-189.97	157.35
-199.70	160.00
-193.03	155.81
-203.70	155.84
-201.86	157.37
-188.20	151.42
-191.60	146.66
-194.86	151.16
-196.40	156.72
-202.43	152.70
-189.96	151.18
-198.63	152.62
-197.40	155.55
-196.07	151.68
-197.27	148.73
-189.23	158.03
-202.43	166.25
-188.57	154.21
-194.70	147.85
-203.00	153.14
-194.97	154.12
-194.26	153.15
-201.27	149.79
-200.67	155.29
-192.60	165.33
-193.87	156.22
-201.77	157.96
-197.33	149.30
-200.67	156.56
-206.10	166.49
-201.73	156.51
-201.93	146.68
-202.17	159.09
-196.70	159.11
-197.20	150.20
-196.57	156.92
-196.20	157.34
-201.73	153.79
-199.00	156.34
-203.00	148.25
-208.30	158.88
-195.00	159.50
-197.40	151.76
-199.97	161.29
-201.40	158.69
-195.03	149.25
-200.73	160.41
-203.40	161.69
-198.90	161.28
-194.00	153.68
-199.67	155.46
-192.43	156.96
-201.86	162.41
-205.57	169.82
-204.23	161.44
-196.43	159.18
-199.07	156.12
-196.00	152.97
-203.90	153.20
-199.87	164.42
-200.37	165.04
-195.43	158.51
-205.36	164.47
-196.90	156.83
-196.07	170.44
-193.43	161.04
-196.17	162.09
-195.13	154.49
-190.20	160.65
-199.03	155.63
-193.03	157.29
-194.90	157.08
-204.53	165.10
-192.83	151.56
-190.17	158.26
-201.27	153.25
-201.37	170.32
-203.27	170.64
-193.27	154.20
-196.53	166.55
-197.77	161.39
-191.40	164.27
-199.73	159.10
-195.23	158.20
-196.76	166.74
-192.83	166.79
-201.50	157.92
-198.10	156.43
-191.97	155.11
-199.50	157.04
-192.43	154.81
-199.67	161.41
-198.93	156.97
-200.00	165.98
-197.57	159.09
-194.33	154.00
-197.33	168.36
-198.07	173.41
-199.30	155.74
-192.40	162.41
-195.57	165.24
-194.03	163.90
-199.57	157.79
-197.70	164.90
-190.33	162.63
-197.03	159.27
-195.67	156.78
-195.30	166.36
-196.10	158.77
-199.20	162.95
-203.96	163.46
-196.57	160.51
-196.67	161.39
-203.13	164.65
-199.50	152.95
-205.37	163.96
-200.47	158.70
-203.33	149.12
-205.37	164.82
-194.83	158.35
-203.43	169.39
-199.07	160.60
-200.03	157.56
-202.67	172.03
-203.10	163.01
-200.63	161.79
-200.23	165.34
-187.53	157.97
-209.27	170.71
-196.57	163.25
-197.43	174.04
-197.20	156.58
-198.43	165.65
-192.57	174.96
-201.80	163.99
-199.43	174.03
-194.03	174.28
-197.87	170.92
-196.20	166.75
-204.03	167.71
-200.36	169.11
-193.70	166.82
-203.17	171.55
-197.90	164.65
-197.76	162.69
-202.23	171.51
-194.60	171.91
-202.20	173.34
-197.93	175.18
-193.96	173.93
-199.36	180.48
-189.63	166.62
-188.60	170.18
-200.57	173.90
-199.37	167.25
-202.80	180.69
-192.03	183.66
-200.83	167.37
-201.20	166.06
-201.57	171.57
-203.73	174.25
-205.93	179.20
-194.33	170.04
-198.00	170.18
-200.43	175.17
-195.23	172.58
-203.57	182.35
-198.13	179.13
-201.37	173.22
-194.43	173.32
-194.93	175.39
-200.96	169.50
-202.97	173.27
-200.23	184.48
-199.30	165.17
-193.33	172.01
-196.60	164.00
-200.20	165.33
-195.37	172.65
-190.00	163.02
-191.40	173.00
-207.23	171.15
-195.83	166.42
-195.93	165.44
-194.57	169.92
-200.40	171.65
-198.00	165.72
-196.43	158.37
-194.63	170.58
-206.77	174.63
-201.77	170.90
-197.23	174.29
-200.67	163.52
-188.43	167.25
-196.30	168.82
-201.00	163.74
-194.90	177.09
-196.97	178.52
-202.46	173.61
-198.27	173.39
-197.07	171.01
-205.63	168.61
-203.03	174.33
-201.27	170.09
-208.67	176.63
-196.53	172.28
-200.87	173.78
-193.13	175.80
-196.00	174.11
-196.43	173.25
-203.63	170.03
-195.96	182.05
-195.30	173.19
-198.53	176.11
-200.53	174.75
-197.97	177.20
-195.10	170.59
-201.23	167.95
-198.30	176.44
-197.73	178.54
-196.33	171.17
-200.00	180.46
-199.63	174.71
-206.63	179.80
-190.96	175.57
-204.10	174.38
-194.07	180.54
-203.13	178.22
-199.33	179.67
-200.33	177.27
-202.57	176.58
-196.67	180.03
-192.00	170.09
-196.53	173.67
-203.70	167.91
-208.03	179.63
-206.07	178.66
-199.50	182.48
-204.00	177.35
-197.13	169.27
-193.67	190.75
-192.27	178.15
-202.80	183.56
-200.83	180.51
-199.83	181.40
-198.10	175.75
-199.17	167.15
-201.37	177.70
-201.87	169.79
-196.87	166.52
-205.83	176.81
-208.07	177.40
-196.60	180.63
-197.20	179.85
-195.60	179.16
-190.10	176.24
-197.70	180.92
-194.40	182.04
-202.30	179.31
-189.27	170.01
-195.47	176.76
-197.10	175.37
-198.93	181.22
-193.73	173.67
-202.23	175.32
-198.50	187.93
-204.60	175.15
-208.17	175.54
-197.73	171.57
-195.43	177.94
-190.96	177.38
-200.30	178.86
-197.07	182.38
-195.03	181.91
-196.50	175.74
-190.63	176.99
-197.77	178.19
-190.53	175.89
-198.86	182.61
-196.00	180.84
-197.33	179.77
-205.70	188.29
-195.60	179.49
-198.73	182.17
-199.13	177.49
-198.33	178.07
-200.36	182.03
-195.20	180.89
-206.40	195.14
-200.57	172.25
-199.90	177.95
-198.77	168.09
-201.07	176.60
-193.80	178.23
-195.93	185.76
-199.30	184.43
-187.27	179.20
-204.27	181.51
-192.93	187.01
-199.03	176.56
-190.50	178.73
-193.13	174.25
-204.80	182.42
-187.17	171.28
-194.17	180.75
-208.63	176.44
-195.30	179.71
-191.10	181.56
-200.47	179.95
-197.03	177.18
-198.83	180.42
-191.87	182.97
-198.10	177.45
-191.33	171.01
-198.83	189.20
-198.27	188.18
-190.97	182.60
-197.50	181.61
-194.30	184.62
-194.33	178.88
-198.50	182.05
-198.40	184.29
-197.10	181.67
-193.77	185.67
-191.50	190.12
-190.63	179.47
-198.07	184.48
-196.13	180.51
-192.17	176.97
-203.07	187.83
-190.96	176.67
-196.00	186.90
-202.40	183.91
-198.53	190.97
-191.37	179.91
-198.03	179.11
-197.07	185.84
-199.90	184.01
-200.03	191.96
-201.43	188.24
-193.26	184.31
-193.83	186.50
-187.77	181.80
-196.70	182.90
-195.43	177.04
-200.00	194.53
-203.96	187.04
-192.97	194.21
-195.27	186.53
-202.57	188.92
-194.73	186.08
-193.33	180.62
-195.33	186.19
-190.60	180.94
-196.57	189.85
-192.90	180.06
-199.10	184.39
-198.63	173.58
-201.10	190.55
-198.63	183.74
-197.40	187.15
-192.73	181.58
-191.20	183.57
-191.80	181.51
-202.57	190.02
-195.30	184.10
-188.17	177.31
-196.13	182.94
-192.63	191.34
-204.37	191.89
-189.40	183.56
-193.93	191.44
-195.13	182.21
-191.33	184.51
-192.53	179.29
-192.10	187.82
-198.23	185.05
-195.90	189.77
-193.80	184.03
-204.17	192.29
-189.00	195.56
-203.17	181.86
-196.30	183.33
-194.70	184.82
-197.83	191.70
-196.73	180.41
-198.90	183.91
-198.33	176.41
-193.87	171.99
-200.07	183.52
-197.36	182.07
-194.60	186.53
-202.00	181.84
-191.03	189.83
-199.07	195.23
-187.33	184.73
-199.83	189.89
-200.23	180.85
-187.53	182.33
-201.37	188.22
-190.13	176.63
-188.70	188.70
-186.67	183.28
-195.96	195.34
-196.93	189.65
-200.27	185.87
-193.33	181.10
-193.43	180.73
-194.97	189.50
-197.93	186.67
-197.13	186.22
-197.00	178.27
-198.53	186.64
-191.10	186.61
-193.83	188.03
-199.07	184.38
-194.53	184.68
-191.90	178.07
-196.17	175.05
-200.50	183.50
-198.87	190.20
-193.70	190.07
-194.53	183.54
-201.40	180.63
-189.77	177.47
-194.40	177.64
-194.40	184.67
-196.50	189.75
-199.20	184.60
-196.10	180.07
-196.90	187.12
-194.53	183.63
-196.47	175.50
-201.03	186.39
-195.27	182.60
-198.23	187.24
-205.30	183.29
-198.17	188.83
-196.03	180.08
-190.40	184.68
-204.63	184.04
-190.53	193.68
-191.23	182.01
-196.80	186.39
-208.23	195.55
-184.07	178.27
-203.87	177.19
-200.10	185.86
-206.93	187.86
-208.57	189.78
-187.57	179.63
-200.97	188.02
-208.00	182.56
-199.57	188.93
-199.73	177.88
-199.13	177.99
-212.43	186.24
-208.87	180.96
-194.47	185.54
-194.36	183.48
-199.80	186.25
-200.86	182.43
-203.30	188.02
-204.50	180.59
-204.50	179.11
-190.70	183.64
-204.63	188.45
-209.13	187.68
-202.33	192.66
-202.90	189.26
-193.63	199.03
-199.67	188.57
-204.43	193.00
-199.30	190.40
-196.40	195.37
-200.50	199.93
-205.37	184.96
-195.27	186.88
-195.43	186.12
-189.80	191.14
-202.40	191.68
-198.60	190.23
-200.13	193.38
-207.63	191.00
-202.30	188.97
-199.33	187.11
-203.30	193.75
-203.70	196.30
-208.23	188.20
-201.50	196.15
-197.43	196.52
-200.33	189.77
-199.00	191.59
-195.63	193.75
-205.07	179.95
-204.10	197.92
-196.37	181.78
-200.30	200.71
-198.26	188.54
-197.50	192.72
-203.60	196.67
-206.40	196.43
-198.76	198.70
-200.00	192.37
-199.96	194.25
-205.07	199.02
-205.10	194.26
-198.97	196.84
-198.83	199.57
-186.80	187.28
-197.37	188.43
-201.30	195.28
-199.87	189.67
-198.50	194.82
-206.67	195.33
-197.60	199.62
-201.40	193.44
-202.50	194.47
-199.80	184.73
-198.77	199.91
-197.57	196.83
-203.63	198.80
-202.93	192.44
-201.70	193.79
-210.53	196.57
-198.53	190.60
-204.40	199.21
-205.60	195.45
-201.10	191.82
-205.13	193.86
-204.50	198.72
-202.90	202.46
-199.93	196.20
-205.03	194.74
-214.70	197.10
-204.77	196.09
-199.13	196.34
-200.93	202.06
-203.93	196.50
-203.87	201.07
-200.77	199.33
-208.07	199.25
-198.46	198.96
-209.77	196.81
-199.60	197.62
-199.27	205.87
-205.97	203.63
-206.36	198.80
-204.87	201.95
-201.70	198.19
-202.67	203.42
-201.17	192.56
-199.60	197.05
-196.17	195.31
-200.86	196.63
-205.77	199.37
-202.30	197.06
-202.70	196.61
-207.86	201.92
-204.40	194.58
-198.67	200.81
-199.90	195.81
-203.83	205.85
-205.43	202.61
-201.43	201.77
-211.67	196.78
-196.20	196.10
-212.37	199.90
-202.67	192.67
-198.30	196.58
-199.57	188.75
-205.90	199.65
-203.30	184.50
-196.57	207.98
-210.73	202.96
-201.43	192.01
-207.73	196.15
-199.96	205.17
-207.30	191.92
-211.83	190.61
-195.46	201.03
-200.83	207.87
-206.17	206.86
-210.43	201.12
-210.47	195.65
-214.57	206.42
-196.93	204.52
-210.57	194.81
-206.17	188.85
-201.57	194.22
-198.67	191.80
-209.13	198.37
-216.26	197.02
-206.03	201.89
-206.07	192.72
-204.80	188.64
-210.27	191.55
-202.57	187.30
-205.96	197.71
-202.76	200.58
-201.90	192.10
-196.60	193.58
-202.30	195.48
-209.60	196.28
-205.37	192.04
-198.83	200.02
-210.30	209.89
-209.83	192.77
-200.80	191.91
-209.93	200.14
-202.50	199.08
-205.87	204.63
-198.17	207.72
-208.57	200.31
-197.03	201.63
-195.00	201.49
-211.30	196.04
-208.33	197.08
-204.47	206.12
-201.90	202.76
-197.97	201.65
-202.40	194.82
-202.80	202.03
-203.63	196.03
-215.90	198.58
-206.27	201.61
-204.87	196.42
-210.17	204.79
-201.20	196.26
-208.53	200.96
-209.83	201.11
-213.67	195.48
-206.07	198.73
-215.20	203.40
-214.50	203.37
-211.37	208.50
-198.87	190.02
-206.33	208.08
-209.27	201.75
-199.63	192.31
-205.53	194.20
-205.63	193.79
-210.33	200.34
-209.73	189.91
-207.10	199.91
-206.87	204.12
-204.27	197.28
-199.57	196.63
-205.33	202.19
-207.23	192.89
-206.03	202.97
-203.80	195.04
-207.73	198.62
-203.96	200.54
-204.90	200.52
-212.13	210.96
-210.70	198.27
-205.17	204.66
-210.20	193.70
-200.40	199.68
-212.73	201.02
-209.70	198.29
-202.73	201.17
-208.60	197.80
-204.17	206.13
-210.23	196.51
-207.67	200.00
-205.07	193.14
-205.67	201.31
-204.40	197.29
-213.63	187.83
-204.03	189.12
-202.93	195.12
-213.17	190.41
-207.93	198.24
-199.50	202.96
-211.23	193.38
-214.60	199.27
-212.50	196.18
-217.33	193.96
-204.73	195.77
-213.60	193.35
-208.70	197.38
-204.07	202.05
-208.90	191.54
-213.43	205.55
-216.63	198.33
-222.10	194.44
-215.83	191.05
-214.47	195.37
-211.20	200.76
-216.23	194.43
-220.50	193.39
-209.47	191.04
-212.53	200.36
-212.00	191.89
-212.03	190.31
-217.86	194.16
-214.60	192.56
-218.50	191.66
-218.07	192.38
-212.27	189.71
-213.13	182.89
-218.20	194.95
-217.50	193.93
-217.90	193.16
-224.00	200.34
-215.40	200.60
-214.83	186.06
-222.40	200.64
-210.10	182.46
-218.50	185.41
-217.70	190.17
-220.10	184.06
-218.73	192.39
-218.73	195.01
-216.50	201.78
-217.43	196.61
-218.23	197.97
-220.00	199.57
-212.00	188.54
-220.26	189.00
-223.27	193.89
-216.17	190.83
-211.77	193.05
-224.33	198.12
-207.97	190.25
-214.13	196.97
